onset	duration	trial_type
4.00012655399996	0	baseline_onset
4.00012655399996	20.0242547289999	baseline
24.0306947670001	0	devalued_onset
24.0306947670001	19.9974400320002	devalued
44.0341370300002	0	baseline_onset
44.0341370300002	19.996682553	baseline
64.0371772660001	0	valued_onset
64.0371772660001	19.9915776449998	valued
84.0339119610003	0	baseline_onset
84.0339119610003	19.9950463280002	baseline
104.035096735	0	devalued_onset
104.035096735	39.9934440060001	devalued
144.0338219	0	valued_onset
144.0338219	20.1159075969999	valued
164.15568729	0	devalued_onset
164.15568729	19.8723164899998	devalued
184.03481716	0	baseline_onset
184.03481716	19.9882180190002	baseline
204.028572425	0	valued_onset
204.028572425	20.1166954089999	valued
224.152131134	0	devalued_onset
224.152131134	39.964069527	devalued
264.122454157	0	baseline_onset
264.122454157	19.8981332160001	baseline
284.027411561	0	devalued_onset
284.027411561	21.1466198369999	devalued
305.182049282	0	baseline_onset
305.182049282	18.8492059220002	baseline
324.038322347	0	valued_onset
324.038322347	40.2295400810003	valued
364.275674343	0	baseline_onset
364.275674343	19.7448810280002	baseline
384.029656612	0	devalued_onset
384.029656612	20.1683951770001	devalued
404.206224449	0	valued_onset
404.206224449	39.9255814560001	valued
444.138899875	0	baseline_onset
444.138899875	19.880723317	baseline
464.026606231	0	valued_onset
464.026606231	20.0561024919998	valued
